Latitude,Longitude,CommonName,Diameter
42.36712312637205,-71.09291464571427,White ash,15.0
42.37827596220172,-71.1439016910357,,0.0
42.38791643491248,-71.14274874806969,,0.0
42.35802393313351,-71.11132638864585,,0.0
42.369337418540816,-71.08284836248632,Red maple,16.6
42.390982421982876,-71.12623526972696,Red maple,4.0
42.39084241449585,-71.12757944199285,,0.0
42.371351658417666,-71.13455318486244,white pine,4.0
42.370858456958196,-71.13427393596638,crabapple,5.0
42.36644908311603,-71.10193022906797,Red maple,11.2
42.37568425619375,-71.12394416882722,White ash,19.0
42.384151152626195,-71.12706482883009,Sugar maple,22.5
42.370292631265286,-71.08654331952074,Ash genus,20.0
42.36708215688076,-71.10618758101485,Pin oak,35.4
42.36415701771666,-71.10883460666308,Pin oak,28.3
42.36534236037493,-71.1402442500981,Cherry genus,20.0
42.365933742874404,-71.11160107669696,Pin oak,7.7
42.37800004943943,-71.1454430024703,London planetree,10.0
42.37677594820463,-71.12004100006905,Norway maple,17.3
42.391246481293265,-71.11886519642889,Red maple,10.4
42.382720524807546,-71.13927232192316,Apple genus,3.0
42.37909071062286,-71.142968774813,Magnolia genus,3.0
42.365030982456005,-71.1010569187557,Ash genus,16.0
42.362667350254576,-71.11466696158324,Northern red oak,18.0
42.362665470344524,-71.08179944894731,Austrian pine,14.0
42.35466406268913,-71.10582962606031,Red maple,15.2
42.38882870682755,-71.15400575346935,Swamp white oak,30.0
42.388532557040165,-71.13628785864731,Red maple,10.4
42.3867308601522,-71.13420441527303,River birch,51.0
42.36599826233445,-71.0948933381925,,0.0
42.362553252409676,-71.0889866735628,Pin oak,7.4
42.36258763823625,-71.11592807479549,Apple genus,6.7
42.360023604634065,-71.0849972962276,,0.0
42.364761640569405,-71.07729929462144,Littleleaf Linden,12.0
42.37272245122434,-71.0844873343971,white pine,7.0
42.37056913518131,-71.12196329233298,White Oak,0.0
42.371816787714515,-71.12451054810143,,0.0
42.371358574369395,-71.12342523861064,,0.0
42.3709152215968,-71.12379642405072,,0.0
42.38918390440924,-71.13388573731181,,0.0
42.35745259273556,-71.10699398895908,Cherry genus,4.0
42.37697437619097,-71.15052757873931,Northern red oak,2.0
42.37996559556423,-71.1341225571894,Red maple,4.8
42.38375230363247,-71.13755191246574,,0.0
42.38323687954903,-71.13744939218503,Cherry genus,2.0
42.39909942683313,-71.12928639803835,,0.0
42.370045636460645,-71.0752053676384,Ash genus,11.0
42.37286869534456,-71.0984417738139,,0.0
42.364936501803186,-71.10169669602335,Callery pear,9.6
42.378981356731124,-71.1359228778644,Japanese cherry,2.6
42.389555421970904,-71.11999499644675,American elm,2.8
42.37117019572619,-71.09758948620723,,0.0
42.37007728331236,-71.1071902621653,London planetree,7.1
42.38355210625937,-71.143431293535,American elm,0.0
42.38266197823134,-71.14545149863058,Sugar maple,8.0
42.38260721484283,-71.14537539097027,Serviceberry genus,4.0
42.38266039821572,-71.14682361665258,Eastern hemlock,18.0
42.38798212143617,-71.15317731478576,White ash,4.0
42.37273342831749,-71.11120707952463,Serviceberry,0.0
42.378342888044244,-71.15175966991713,Norway maple,10.0
42.394388281552416,-71.13811092483206,Apple genus,2.2
42.367399460269475,-71.10606525943446,Apple genus,6.0
42.39535942934443,-71.13798485936647,Yellowwood,1.3
42.39783318988554,-71.13615516954518,Quaking aspen,1.8
42.39794850238188,-71.1346985261513,Apple genus,1.3
42.35665390402155,-71.11124245314471,Serviceberry genus,2.3
42.37199478185914,-71.08307562303041,Japanese tree lilac,1.2
42.38137145845627,-71.15429678380949,,0.0
42.36819523856496,-71.13872255181876,Sugar maple,3.9
42.36794438310396,-71.13879436149837,Cherry genus,4.5
42.37152215135457,-71.09148834518984,Apple genus,0.0
42.39077451627853,-71.1234098172549,Elm genus,5.5
42.358671858568094,-71.10923924963882,Serviceberry genus,0.0
42.35814962911072,-71.10580571689813,,0.0
42.36969190463766,-71.10942049644872,,0.0
42.38931706588649,-71.1327652270716,London planetree,7.9
42.37405605690131,-71.10162431494844,Eastern redbud,2.5
42.3956555077286,-71.13023383831376,Red maple,25.0
42.366009541055554,-71.09388725675889,Cherry genus,5.4
42.3710447627827,-71.08597708775832,Elm genus,1.5
42.380182334900546,-71.15099903864598,Northern red oak,3.0
42.361892382169074,-71.09121868863618,Cherry genus,1.9
42.36595509011393,-71.0888913931113,London planetree,3.1
42.371891514153525,-71.11559582757776,,0.0
42.36176051174417,-71.10384221895673,Japanese tree lilac,1.5
42.35629529448361,-71.11309111958364,Witch hazel genus,4.0
42.397771987126056,-71.12906407852829,Pin oak,3.0
42.364194680272064,-71.07832326779757,Gray birch,2.9
42.364420535190895,-71.07812977305971,American elm,4.7
42.364487546954884,-71.07801369406126,Sweetgum,0.7
42.36532573735701,-71.07884274113201,,3.8
42.362627383599126,-71.0877552969491,American elm,6.8
42.36803152808266,-71.09987120062131,Red maple,17.5
42.39268811981707,-71.12822066975171,Kousa dogwood,1.7
42.36427209971094,-71.07836122620361,American witch hazel,0.6
42.37538328674244,-71.14977025262749,Norway maple,10.5
42.36952958905372,-71.07968781233957,London planetree,2.2
42.35898971641714,-71.09754408604758,,0.0
42.38809345647714,-71.11844625211039,,1.7
42.37248551050011,-71.11500619042286,Sweetgum,0.0
42.37482839108516,-71.11647575936233,Japanese yew,0.0
42.375650771359076,-71.118124669962,Japanese yew,0.0
42.37786792052007,-71.11951730957355,Hackberry,0.0
42.36506771815114,-71.11544331740728,,15.0
42.38259228727111,-71.14734949733635,Eastern hophornbeam,1.6
42.361805605069925,-71.10431711044676,,11.0
42.36452228702229,-71.11544868238957,Japanese zelkova,13.4
42.370718022086464,-71.10121094584737,Silver linden,8.9
42.37764803967469,-71.14671511971592,Black oak,6.5
42.376693740891376,-71.1517135834116,Pin oak,33.5
42.38687667514935,-71.12864547069516,Norway maple,36.0
42.3703238720804,-71.08722031403833,Siberian elm,19.5
42.36420426489054,-71.10721696599926,Red maple,12.1
42.36145143101562,-71.10294967985507,Callery pear,14.1
42.36364752648513,-71.11066018929752,Ash genus,21.0
42.36436640186403,-71.1144962575814,Oak genus,5.0
42.38675890539643,-71.14109006069133,Littleleaf Linden,7.0
42.36649501324711,-71.14117684768816,Norway maple,36.0
42.37863736679801,-71.1377732061853,Ginkgo,8.6
42.37995179121557,-71.12376862853522,Sargent's cherry,12.2
42.366875431172154,-71.110459608009,Amur cork tree,7.4
42.36745216871228,-71.08447047383282,Goldenrain tree,6.5
42.396486370199874,-71.12846386781105,Honeylocust,16.0
42.37174822401356,-71.10905847999234,Norway maple,15.3
42.36929404389176,-71.09960346586561,Norway maple,18.0
42.36492311464035,-71.10796933372329,Northern red oak,6.7
42.36846809282306,-71.08042938222256,Callery pear,10.2
42.36503303298414,-71.10567325096373,London planetree,12.7
42.395180680179905,-71.12793388752925,Red maple,6.2
42.39963194187295,-71.13924058205816,tree of heaven,5.0
42.382540858841075,-71.13459762230544,Norway maple,12.0
42.377727950957926,-71.12462521191296,American sycamore,28.5
42.388613328852145,-71.14300970848473,Pin oak,7.0
42.362376529172536,-71.10283676699613,Littleleaf linden,10.8
42.37564572214561,-71.14298469449518,Littleleaf linden,8.6
42.361506757933476,-71.10303668924422,Callery pear,13.5
42.3681149678331,-71.09586723007557,Honeylocust,22.5
42.38308835504433,-71.12432633074948,American elm,7.1
42.366411305725336,-71.0872574420205,London planetree,20.3
42.3842382469704,-71.12093641760417,American linden,15.7
42.39721623826935,-71.13174943747997,White ash,24.0
42.37196733553611,-71.08204453571902,Pin oak,31.0
42.37177726829096,-71.08636019878898,Ginkgo,6.3
42.36743464589134,-71.11483220401055,London planetree,26.0
42.39285914427551,-71.13289664136151,Red maple,9.8
42.38568778333149,-71.13685338077501,Honeylocust,17.0
42.37206517458677,-71.10778975265977,Elm genus,6.2
42.36821688553356,-71.10522973307985,Green ash,23.0
42.3618216588869,-71.10228693403998,Callery pear,6.1
42.367239684348135,-71.11502072134247,Magnolia genus,4.2
42.361230580617224,-71.11332225982162,Northern red oak,6.5
42.377058721140024,-71.14677507273184,Northern red oak,40.1
42.368177744037474,-71.13789645887195,White spruce,19.6
42.382901960540856,-71.13390705951711,Japanese tree lilac,7.3
42.3785430462776,-71.12246447364511,Horsechestnut,10.7
42.37255711330926,-71.0965231997967,Norway maple,20.0
42.35887701377504,-71.11278255408374,American linden,12.6
42.35749023529213,-71.10909331230646,Honeylocust,13.6
42.36938869894856,-71.11158044466896,Callery pear,11.1
42.399307639094054,-71.14004342290482,Norway Maple,8.0
42.37370939788556,-71.12654083558454,sycamore,39.0
42.36858225522893,-71.09055095380793,Red maple,13.5
42.38969389105566,-71.14228673031577,Littleleaf Linden,5.0
42.36117229247501,-71.1023415318544,Callery pear,6.3
42.36724416231555,-71.13767211884316,Red maple,18.5
42.37871792393954,-71.11210905362537,Norway maple,25.4
42.394102971048675,-71.1407722137711,Pin oak,17.1
42.38487537100435,-71.12068171416146,Norway maple,15.7
42.37985392818491,-71.15206163357934,Green ash,15.0
42.39089610058379,-71.11999559987481,Pin oak,16.5
42.37259412813379,-71.13453012955719,Norway Maple,7.0
42.39291377030382,-71.12798813388893,Goldenrain tree,10.8
42.37734907512326,-71.14469912708819,Norway maple,1.2
42.36775662290149,-71.08049337719414,Red pine,14.9
42.386522211971084,-71.15942831553822,Yoshino cherry,2.6
42.37807483589409,-71.14370063082258,Northern Red Oak,39.0
42.384100781233116,-71.13453927438279,Pin oak,41.1
42.38412778107296,-71.13624453884117,Eastern redbud,3.8
42.3690085963094,-71.13894457297965,Red maple,18.3
42.381757596725095,-71.1223401188703,American sycamore,30.0
42.379657523318926,-71.13763626502377,Pin oak,28.6
42.365266058131795,-71.07728926206606,Black oak,4.0
42.3726890684963,-71.08943351096576,Eastern white pine,19.0
42.392486377905165,-71.12275221663606,Cherry genus,2.0
42.3665314134873,-71.07656283433903,Honeylocust,12.8
42.376121042685085,-71.14339497035854,Red maple,11.7
42.37184544124264,-71.12471348772911,sycamore,53.0
42.3598241315197,-71.11564915634405,Zelkova,16.0
42.38404510950658,-71.12090731875651,Japanese tree lilac,2.5
42.36688629083043,-71.10783637010843,Japanese pagoda tree,5.7
42.38643665977833,-71.12722128332776,Serviceberry genus,1.7
42.36721994654135,-71.11523363502154,Austrian pine,12.2
42.368970283281385,-71.09478127282891,Callery pear,17.2
42.37331769827658,-71.08310484552723,Red pine,13.7
42.39632178793956,-71.13327318572628,Sargent's cherry,13.0
42.37267240433219,-71.09745904015216,Red maple,9.2
42.3872056153298,-71.13901886110125,Pin oak,24.7
42.401012766875965,-71.13314981630714,Norway maple,15.5
42.38078622722426,-71.12332789546956,Japanese zelkova,15.0
42.36714386855113,-71.14106863030237,Norway maple,30.6
42.36178937977093,-71.11076675781416,Red maple,6.4
42.369427658897315,-71.09572105616017,Honeylocust,19.1
42.35545738470087,-71.10871151116699,Japanese zelkova,10.2
42.39063170401173,-71.12852009501353,Norway maple,19.2
42.36989772080488,-71.13819912486224,Sugar maple,40.7
42.36041630239318,-71.11236992581908,Honeylocust,19.2
42.38720901868442,-71.12007745445665,Sugar maple,5.1
42.385741536890436,-71.12683422908212,White ash,28.0
42.367354804275784,-71.1118923104344,Norway maple,10.0
42.377585156344125,-71.13252757037182,White oak,5.2
42.366923933706936,-71.14032280595362,Honeylocust,25.2
42.3663718848785,-71.07650797345197,Honeylocust,14.7
42.366643880022394,-71.09552267112606,Honeylocust,13.0
42.3740395215425,-71.09759156075324,Silver maple,7.0
42.3565915511016,-71.10459407431935,Japanese zelkova,23.5
42.395039419553385,-71.12605561585578,Norway maple,19.3
42.38360438559106,-71.1344303456701,Green ash,21.0
42.360451189695226,-71.11004322949493,Norway maple,23.4
42.374802351227956,-71.13111554459881,Amur cork tree,6.6
42.372718219785135,-71.12334383385902,Honeylocust,3.0
42.37748578530082,-71.10948584137564,Norway maple,19.0
42.372920792065,-71.10284922238884,Pin oak,34.3
42.37257790355055,-71.08279435224553,Pin oak,37.7
42.375922301306694,-71.11868351567229,Norway maple,18.0
42.36851975300669,-71.08593632994194,Norway maple,23.0
42.36962512247542,-71.09936937845445,Japanese tree lilac,3.1
42.38400064401602,-71.12263607369555,Red maple,14.1
42.37368158726297,-71.1240364104987,Japanese zelkova,10.0
42.371900086785,-71.10896023858133,Red maple,3.0
42.375384245750205,-71.12011351622985,Northern red oak,33.6
42.37079212738349,-71.09713881334848,Littleleaf linden,13.2
42.37185854343505,-71.10173714186766,Pin oak,7.4
42.36374919857194,-71.111419523691,Honeylocust,22.3
42.37900154141142,-71.12968062393588,Pin oak,22.2
42.39129315786409,-71.12978787703446,Japanese pagoda tree,9.7
